dataset,holdout_family,split_variant,model_family,stage1_weight_mode,split,method,thr_high,selection_param_json,macro_f1,accuracy,benign_family_fp_rate,benign_reject_rate,overall_reject_rate,unknown_detection_rate,false_unknown_rate_all_known,false_unknown_rate_known_attacks,n_true_unknown,n_known_all,n_known_attacks,coverage,unknown_known_auroc,unknown_known_aupr,control_macro_f1,control_unknown_detection_rate,delta_macro_f1_vs_control,delta_unknown_detection_vs_control
CICIoT2023,BruteForce,day-file Protocol B baseline,rf,class_weight_balanced,test,control_tau,0.9133333333333332,"{""tau"": 0.8733333333324601}",0.7893570818614192,0.9481920801008312,0.0031091780216792,0.0187060382615787,0.0361735126152595,0.671307037896365,0.0347913386456261,0.0356295735553873,2586,1188313,1129455,0.9638264873847404,0.8111210745968453,0.030508657379311,0.7893570818614192,0.671307037896365,0.0,0.0
CICIoT2023,BruteForce,day-file Protocol B baseline,rf,class_weight_balanced,test,margin_reject,0.9133333333333332,"{""margin_thr"": 0.76}",0.789185544045086,0.9485850605299022,0.0031261680655136,0.0186890482177444,0.0358267157836222,0.6805877803557618,0.0344235904176761,0.0352435466663125,2586,1188313,1129455,0.9641732842163776,0.8118056816452663,0.0321018555731354,0.7893570818614192,0.671307037896365,-0.00017153781633316711,0.009280742459396807
CICIoT2023,BruteForce,day-file Protocol B baseline,rf,class_weight_balanced,test,entropy_reject,0.9133333333333332,"{""entropy_thr"": 0.2516179605438481}",0.7888923948913548,0.9470903913765988,0.0032620884161881,0.0185531278670698,0.0371685592145093,0.6531322505800464,0.0358281025285425,0.0367283335768136,2586,1188313,1129455,0.9628314407854908,0.8094991821056069,0.0273488062430899,0.7893570818614192,0.671307037896365,-0.0004646869700644096,-0.018174787316318608
CICIoT2023,BruteForce,day-file Protocol B baseline,rf,class_weight_balanced,test,conformal_reject,0.9133333333333332,"{""alpha"": 0.05, ""family_thresholds"": {""Botnet"": 0.9999999999959996, ""DDoS"": 0.9866666666637064, ""DoS"": 0.9633333333304431, ""Other"": 0.52999999999841, ""Scan/Recon"": 0.38999999999883}}",0.795509452384331,0.9439633419794624,0.0208467837847021,0.0009684324985558,0.0316869860500344,0.0201082753286929,0.0317121835745296,0.0333142976037115,2586,1188313,1129455,0.9683130139499656,0.264064041846467,0.0015001269907611,0.7893570818614192,0.671307037896365,0.006152370522911843,-0.6511987625676722
CICIoT2023,DDoS,day-file Protocol B baseline,rf,class_weight_balanced,test,control_tau,0.9166666666666666,"{""tau"": 0.38333333333295}",0.70186931354262,0.5588971021052163,0.0195555404532943,0.0,0.0821505434130014,0.1647349724520922,5.190838672083e-05,5.75835704785752e-05,593693,597206,538348,0.9178494565869986,0.783518077464875,0.8180888060689034,0.70186931354262,0.1647349724520922,0.0,0.0
CICIoT2023,DDoS,day-file Protocol B baseline,rf,class_weight_balanced,test,margin_reject,0.9166666666666666,"{""margin_thr"": 0.053333333333333344}",0.6958131769559001,0.5487996883027024,0.0178395460260287,0.0017159944272656,0.075310332782209,0.1466363928831904,0.0044038405508317,0.0046977048303327,593693,597206,538348,0.9246896672177908,0.780140919095361,0.8042703730650317,0.70186931354262,0.1647349724520922,-0.006056136586719996,-0.018098579568901818
CICIoT2023,DDoS,day-file Protocol B baseline,rf,class_weight_balanced,test,entropy_reject,0.9166666666666666,"{""entropy_thr"": 0.8015912182470137}",0.701534938762806,0.558969316457567,0.0195555404532943,0.0,0.0822286356777527,0.1648933034413409,5.023392263306129e-05,5.572603594700826e-05,593693,597206,538348,0.9177713643222472,0.7872252683843575,0.8261960270310096,0.70186931354262,0.1647349724520922,-0.0003343747798140173,0.00015833098924869504
CICIoT2023,DDoS,day-file Protocol B baseline,rf,class_weight_balanced,test,conformal_reject,0.9166666666666666,"{""alpha"": 0.2, ""family_thresholds"": {""Botnet"": 0.9999999999959996, ""BruteForce"": 0.049999999999920004, ""DoS"": 0.9999999999959999, ""Other"": 0.80999999999919, ""Scan/Recon"": 0.67999999999932}}",0.8171346204164542,0.8063454583470134,0.0049780828434537,0.0145774576098406,0.3869648055796503,0.7123328050019118,0.0635107483849793,0.0688606626197181,593693,597206,538348,0.6130351944203496,0.8652269485453455,0.8530363632478426,0.70186931354262,0.1647349724520922,0.11526530687383418,0.5475978325498195
CICIoT2023,DoS,day-file Protocol B baseline,rf,class_weight_balanced,test,control_tau,0.9166666666666666,"{""tau"": 0.8066666666642466}",0.7086360295203586,0.8114306922753315,0.0039416901695606,0.0165313126507866,0.0410127139245225,0.0927768506565068,0.0311522524728968,0.0320662951267516,190554,1000345,941487,0.9589872860754776,0.538069467304286,0.2476945206109553,0.7086360295203586,0.0927768506565068,0.0,0.0
CICIoT2023,DoS,day-file Protocol B baseline,rf,class_weight_balanced,test,margin_reject,0.9166666666666666,"{""margin_thr"": 0.6366666666653934}",0.7165132195964327,0.8111200026198695,0.0038227598627204,0.0166502429576268,0.0406617185840276,0.0906357253062124,0.031142255921707,0.0320482385842821,190554,1000345,941487,0.9593382814159724,0.5376502187939992,0.2278403715748725,0.7086360295203586,0.0927768506565068,0.007877190076074014,-0.0021411253502943983
