lane,comparison_key,dataset,metric,n,mean,sd,min,max,ci95_low,ci95_high
protocol_a_two_stage,CICIDS2017::rf::strict,CICIDS2017,stage2_macro_f1_present,5,0.8704124769725485,0.006816575183399236,0.8623044532691629,0.8783246424251104,0.8619485809762725,0.8788763729688246
protocol_a_two_stage,CICIDS2017::rf::strict,CICIDS2017,stage1_roc_auc,5,0.9890604698962923,0.0024372924274243023,0.986343769415337,0.9928369073318896,0.9860341716360649,0.9920867681565196
protocol_a_two_stage,CICIDS2017::rf::strict,CICIDS2017,benign_family_fp_rate,5,0.00687078526268786,0.0007523142171506534,0.0058885224357759,0.0076702427435965,0.005936663783915043,0.007804906741460677
protocol_a_two_stage,CICIDS2017::rf::strict,CICIDS2017,overall_reject_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
protocol_a_two_stage,CICIDS2017::rf::strict_tau,CICIDS2017,system_macro_f1_declared_output_labels_historical,5,0.7383263778261888,0.006128321853183754,0.7319018687648492,0.7454153224333651,0.7307170612116851,0.7459356944406925
protocol_a_two_stage,CICIDS2017::rf::strict_tau,CICIDS2017,system_macro_f1_supported_labels,5,0.8438015746585015,0.007003796403638554,0.8364592785883991,0.8519032256381314,0.8351052128133545,0.8524979365036485
protocol_a_two_stage,CICIDS2017::rf::strict_tau,CICIDS2017,system_accuracy,5,0.9867838083090611,0.0012743204325039502,0.9851193309092756,0.9880700819230012,0.9852015305058455,0.9883660861122767
protocol_a_two_stage,CICIDS2017::rf::strict_tau,CICIDS2017,stage2_macro_f1_fixedK,5,0.8704124769725485,0.006816575183399236,0.8623044532691629,0.8783246424251104,0.8619485809762725,0.8788763729688246
protocol_a_two_stage,CICIDS2017::rf::strict_tau,CICIDS2017,stage2_macro_f1_present,5,0.8704124769725485,0.006816575183399236,0.8623044532691629,0.8783246424251104,0.8619485809762725,0.8788763729688246
protocol_a_two_stage,CICIDS2017::rf::strict_tau,CICIDS2017,stage1_roc_auc,5,0.9890604698962923,0.0024372924274243023,0.986343769415337,0.9928369073318896,0.9860341716360649,0.9920867681565196
